Year,Month,Period,Data Value,Status,Units,Subject,Group,Series
2000,Dec,2000.12,0.004363,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Beer containing not more than 1.150% alcohol
2000,Dec,2000.12,4.42312553,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Beer containing between 1.151% and 2.500% alc
2000,Dec,2000.12,245.6640585,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Beer containing between 2.501% and 4.350% alc
2000,Dec,2000.12,40.64020268,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Beer containing between 4.351% and 5.000% alc
2000,Dec,2000.12,14.87903119,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Beer containing more than 5.00% alcohol
2000,Jun,2000.06,315.198578,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Total beer
2000,Dec,2000.12,305.610781,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Total beer
2000,Mar,2000.03,312.582468,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Total beer
2000,Sep,2000.09,312.87263,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Total beer
2000,Jun,2000.06,9.312727,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Total spirits (proof litres)
2000,Dec,2000.12,10.012558,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Total spirits (proof litres)
2000,Mar,2000.03,9.021126,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Total spirits (proof litres)
2000,Sep,2000.09,9.691882,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Total spirits (proof litres)
2000,Jun,2000.06,21.988223,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Spirits containing not more than 23% alcohol
2000,Dec,2000.12,24.509095,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Spirits containing not more than 23% alcohol
2000,Mar,2000.03,20.779981,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Spirits containing not more than 23% alcohol
2000,Sep,2000.09,23.339082,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Spirits containing not more than 23% alcohol
2000,Jun,2000.06,9.18405,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Spirits containing more than 23% alcohol
2000,Dec,2000.12,9.705172,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Spirits containing more than 23% alcohol
2000,Mar,2000.03,8.969281,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Spirits containing more than 23% alcohol
2000,Sep,2000.09,9.496887,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Spirits containing more than 23% alcohol
2000,Jun,2000.06,31.172274,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Total spirits
2000,Dec,2000.12,34.214267,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Total spirits
